time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-02-15T02:34:55.454Z,63.1296,-155.1604,4,2.4,ml,,,,0.8,ak,ak02124448up,2021-02-15T03:10:49.571Z,"29 km NE of McGrath, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-02-15T02:31:47.290Z,33.591,-116.8065,6.84,0.89,ml,39,42,0.03549,0.15,ci,ci39552231,2021-02-15T02:35:30.910Z,"13km WNW of Anza, CA",earthquake,0.19,0.38,0.196,26,automatic,ci,ci
2021-02-15T02:19:40.030Z,17.9391,-66.8498,9,2.7,md,22,196,0.0465,0.13,pr,pr2021046002,2021-02-15T03:19:28.734Z,"6 km SE of Maria Antonia, Puerto Rico",earthquake,0.44,0.41,0.35,19,reviewed,pr,pr
2021-02-15T02:07:06.870Z,38.1775,-118.0215,23,0.6,ml,12,106.07,0.013,0.07,nn,nn00800416,2021-02-15T02:29:42.419Z,"24 km SSE of Mina, Nevada",earthquake,,7.7,,,automatic,nn,nn
2021-02-15T02:01:07.850Z,19.2113342285156,-155.415496826172,34.4599990844727,2.06999993,md,38,158,,0.119999997,hv,hv72351732,2021-02-15T02:04:24.560Z,"6 km E of Pāhala, Hawaii",earthquake,0.52,0.680000007,1.02999997,3,automatic,hv,hv
2021-02-15T01:55:21.610Z,19.2238330841064,-155.421661376953,34.1199989318848,2.32,ml,47,133,,0.129999995,hv,hv72351727,2021-02-15T02:21:55.040Z,"6 km ENE of Pāhala, Hawaii",earthquake,0.55,0.720000029,2.63,12,automatic,hv,hv
2021-02-15T01:48:34.836Z,60.2513,-141.0902,8.3,1.2,ml,,,,1.04,ak,ak021243lrdn,2021-02-15T01:51:01.310Z,"109 km NW of Yakutat, Alaska",earthquake,,1.4,,,automatic,ak,ak
2021-02-15T01:36:56.840Z,17.96,-66.9718,17,1.34,md,4,262,0.073,0.02,pr,pr2021046001,2021-02-15T02:18:35.531Z,"6 km WSW of Fuig, Puerto Rico",earthquake,0.98,0.83,0.1,2,reviewed,pr,pr
2021-02-15T01:28:29.440Z,19.1946659088135,-155.447662353516,34.6199989318848,2.00999999,md,45,127,,0.119999997,hv,hv72351692,2021-02-15T01:31:40.190Z,"3 km ESE of Pāhala, Hawaii",earthquake,0.65,0.870000005,1.85000002,10,automatic,hv,hv
2021-02-15T01:26:55.940Z,38.8323326,-122.8156662,1.6,0.98,md,23,67,0.009936,0.02,nc,nc73523306,2021-02-15T01:49:06.099Z,"8km NW of The Geysers, CA",earthquake,0.2,0.36,0.07,4,automatic,nc,nc
2021-02-15T01:14:05.712Z,60.2641,-141.0748,12.9,1.3,ml,,,,0.88,ak,ak021243eese,2021-02-15T01:18:27.734Z,"109 km NW of Yakutat, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-02-15T01:13:17.363Z,63.9558,-148.8896,4,1.7,ml,,,,0.6,ak,ak021243e7yn,2021-02-15T01:21:48.350Z,"11 km NNE of Healy, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-02-15T01:04:01.587Z,63.4695,-148.841,6.5,1.6,ml,,,,0.39,ak,ak021243c9az,2021-02-15T01:16:47.161Z,"10 km NNE of Cantwell, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-02-15T01:02:15.230Z,34.0201667,-117.1295,9.41,0.92,ml,14,64,0.02084,0.28,ci,ci39552223,2021-02-15T01:05:57.244Z,"6km S of Mentone, CA",earthquake,0.75,1.43,0.178,22,automatic,ci,ci
2021-02-15T01:00:20.990Z,19.2089996337891,-155.442672729492,36.810001373291,1.95000005,md,39,187,,0.109999999,hv,hv72351677,2021-02-15T01:03:29.760Z,"3 km E of Pāhala, Hawaii",earthquake,0.64,0.720000029,0.970000029,3,automatic,hv,hv
2021-02-15T00:55:49.550Z,35.9688333,-117.3216667,4.03,1.33,ml,13,146,0.08372,0.13,ci,ci39552215,2021-02-15T00:59:22.858Z,"23km NNE of Trona, CA",earthquake,0.4,0.89,0.149,15,automatic,ci,ci
2021-02-15T00:54:35.110Z,17.9226,-66.9235,10,2.64,md,23,216,0.0687,0.13,pr,pr2021046000,2021-02-15T01:40:00.040Z,"5 km SSW of Guánica, Puerto Rico",earthquake,0.59,0.53,0.35,20,reviewed,pr,pr
